DISSOLVEID, STEWARD_ID
2419,45392
1911,48797
101586,50594
1254,63301
451,48797
1279,51433
1740,5799
101272,60746
101856,44476
2763,7245
1597,12697
1356,28868
102099,8470
102385,37104
1458,44659
102300,45392
1548,48345
1273,51433
101910,44659
2758,7245
981,12697
1629,57650
1783,51433
2308,7245
1539,54555
1777,12697
1660,58672
102247,22159
691,48797
838,26692
103624,62987
1259,8470
102238,22159
787,7245
1347,48797
102076,5799
101502,60746
113,44659
1939,36436
101715,61501
102216,22159
101818,48345
104686,16973
377,48797
925,57749
2471,63301
101928,44659
2635,27011
1852,63301
102158,8470
848,8470
1781,12697
101588,50594
101743,63301
395,63301
2343,51433
2162,62987
101742,63301
1101,12697
941,25462
101294,60746
205,37829
101827,48345
1614,63301
2072,45392
101765,63301
2048,33909
885,58672
101753,63301
1925,48797
1769,48797
101504,60746
1285,33312
2598,44476
101511,60746
250,50594
1155,48345
101747,63301
101709,12532
1736,44659
101843,33312
1985,58672
101304,60746
2138,45392
104796,65516
307,8470
2276,51433
101941,5833
101713,12532
1639,44659
1427,48797
103625,62987
2234,63301
101444,60746
2236,58672
101807,48345
1792,8470
101477,60746
1648,45392
101930,44659
101635,50594
1286,63301
170,12532
1289,25462
1212,28832
1421,5833
1797,22159
