218548,"Washington","South Johnson Creek Trail",
407296,"Multnomah","Wood Parks Trail",
330855,"Multnomah","Drovers Trail",
137668,"Multnomah","Von Ahns Bluff Trail #424A",
363178,"Clackamas","Road Access",
881654,"Clackamas","City of Lake Oswego Trails",
502811,"Multnomah","Newman Ave - Dwight Ave",
528436,"Washington","Decatur Way - Bethany Blvd Connector",
218027,"Washington","138th Pl - Oakpoint Way Connector",
681867,"Clackamas","Parker Rd - Winkel Connector",
643453,"Multnomah","Creston Park Trails - Connector",
451878,"Clackamas","Pioneer Bridle Trail #795",
983983,"Clackamas","Mountain Crest Dr - Wintercress Ln Connector",
328015,"Multnomah","Ainsworth Loop",
164197,"Clackamas","Anvil Lake Trail #724",
344159,"Multnomah","Forest Lane",
961421,"Multnomah","SW Barbur Blvd",
622234,"Washington","Tigard Street Trail",
396150,"Multnomah","Northwest Willamette Trail",
977356,"Clackamas","Kerr",
861396,"Multnomah","Willamette Park Trail",
950684,"Clackamas","College Hill Pl - Maryl Creek Connector",
982512,"Clackamas","Jackson Hills Homeowners Association Trails - Connector",
669665,"Multnomah","Alice Trail",
222725,"Washington","East Butte Park Trails",
155756,"Clackamas","Willamette Falls Drive Trail",
530589,"Multnomah","Columbia Slough Water Trail Launch",
988205,"Multnomah","Ranch Dike Trail - Connector",
342605,"Clackamas","Railroad Trail",
158200,"Multnomah","Wasco St Connector",
445989,"Washington","SW Cottonwood Ave - SW Ironwood Ave Connector",
576305,"Multnomah","Old Channel Trail",
800122,"Multnomah","West Horse Loop Trail",
464054,"Multnomah","Terwilliger Trail - Connector",
637274,"Clackamas","Barlow Trail #601A",
175669,"Multnomah","SW Naito Pkwy - SW Curry St Connector",
128413,"Washington","Sophie Ct - Kaiser Rd Connector",
709277,"Multnomah","NW Creston Rd.",
575752,"Multnomah","Boones Ferry Horse Trail",
261379,"Washington","Cedar Mill Park Trail",
710661,"Multnomah","Hogan Butte Trail",
148346,"Multnomah","SW Barbur Blvd - SW 2nd Ave Connector",
888599,"Washington","209th Ave - Dutton Ct Connector",
402159,"Washington","SW Teakwood St - SW Olivewood St Connector",
210294,"Washington","SW 94th Ter - SW Boones Ferry Rd Connector",
702713,"Clackamas","Meinig Park Access",
414943,"Multnomah","Holgate Lane",
161609,"Multnomah","NE 44th Ave - NE 47th Ave Connector",
467928,"Multnomah","Barbour Blvd Bike Ramp",
263097,"Multnomah","SE 22nd Ave - Powell Park Connector",
370264,"Clackamas","I-205 Multi-Use Path Connector",
560291,"Marion","Whetstone Trail #546",
702752,"Multnomah","Historic Columbia River Highway State Trail",
979104,"Washington","Cooper Mountain Trail",
938984,"Multnomah","Grant Way - Hensley Rd Connector",
341273,"Multnomah","Lowell Ct - 48th Pl Connector",
463052,"Clackamas","Clackamas Town Center MAX Station Path",
761444,"Clackamas","Dubarko Estates Path",
125874,"Tillamook","Wilson River Trail",
605783,"Tillamook","Side Step Trail",
939853,"Clackamas","Pansy Lake Trail #551",
848800,"Clackamas","Sundeleaf Plaza",
104742,"Clackamas","Salmon Mountain Trail #787",
918149,"Washington","Sunset Blvd - Stonehaven St Connector",
145922,"Washington","Sidewinder Horseshoe",
280728,"Multnomah","Franklin Ridge Trail #427",
527547,"Multnomah","NE Klickitat St Trail",
112397,"Multnomah","Lincoln Park Trails",
937292,"Clackamas","Boeckman Creek Crossing Trail",
639949,"Clackamas","Tickle Creek Rd",
505539,"Washington","Salmonberry Corridor Trail",
672083,"Washington","Beaverton Creek MAX Station",
670580,"Clackamas","Central Point Rd - Payson Ln Connector",
284750,"Multnomah","Columbia River Trail Extension",
379516,"Multnomah","Cornell Rd - 26th Ave",
971690,"Washington","Darby St - Barberry Dr",
653398,"Multnomah","Helvetia Trail",
397456,"Clackamas","Mazama Lodge Footpath",
731274,"Multnomah","10th Ave - Canby St Connector",
590653,"Clackamas","Trillium Lake Loop Trail #761",
318852,"Multnomah","Flicker Trail",
800853,"Washington","Elm St",
548497,"Multnomah","Interlakes Trail",
945357,"Multnomah","Adriatic Ave - Haven Ave",
137305,"Multnomah","30th Ave - Karla Ct Connector",
384974,"Washington","Saddle Dr - Wildhorse Way Connector",
817578,"Multnomah","Sweetbriar Lane - 34th Circle Connector",
263175,"Multnomah","Fiske Ave - Dwight Ave",
225499,"Multnomah","California St - SW 26th Ave Connector",
663148,"Multnomah","Condor - View Point Terrace Connector",
681452,"Clackamas","Ferry Rd Connector",
968266,"Clackamas","SE Clackamas Rd - SE Aldercrest Ct Connector",
558079,"Washington","SW Nels Dr Connector",
580494,"Multnomah","Foster Floodplain Natural Area Trail - Connector",
179529,"Washington","Quatama Max Stop Trail",
756582,"Clackamas","Molalla-South Huckleberry Trail",
329074,"Multnomah","Sandy River Gorge Greenway",
416146,"Washington","Downing Path Trail Connector",
414556,"Clackamas","Bennignton Ct - Rosemont Rd Connector",
147587,"Multnomah","Lloyd Center Parking Connector",
342663,"Multnomah","SW Cardinell Way - SW Hoffman Ave Connector",
820482,"Multnomah County","Gradin Community Sports Park Perimeter Path",
733692,"Multnomah","Taylor St - Salmon St Connector",
138510,"Multnomah","SW Galeburn St - SW 40th Ave Connector",
447846,"Clackamas","Poppy Hills Dr - 147th Ave Connector",
649780,"Clackamas","Town Center Park Connector",
531982,"Multnomah","NW 29th Ave Connector",
356151,"Clackamas","Park Mountain Lane Trail",
376561,"Washington","Scoggins Valley Park/Henry Hagg Lake Trails",
670260,"Clackamas","213 Connector Trail - Connector",
831926,"Clackamas","Bagby Trail #544",
681904,"Clackamas","Baty Butte Trail #545",
562298,"Columbia","Columbia River Water Trail",
574371,"Multnomah","N. Marine Dr. Access",
551141,"Multnomah","Pioneer Orchard Trail",
977158,"Clackamas","Sandy River Trail",
233776,"Marion","Kitty Newell Trail",
822319,"Multnomah","Gibbs Street Pedestrian Bridge",
181325,"Marion","Hawk Mountain Lookout Trail #564A",
271421,"Washington","Laidlaw Rd - Alvada St Connector",
843876,"Clackamas","McIntyre Ridge Trail #782",
209000,"Clackamas","Turkey Creek Trail",
980663,"Washington","Tualatin River Crossing",
495372,"Clark","Salmon Creek Greenway Trail",
220444,"Clackamas","Oregon City Lp - Sunset ES Connector",
585068,"Multnomah","SW Knight Blvd.",
428666,"Clackamas","Marquam Heights Homeowners Association Trails - Connector",
899654,"Clackamas","Greyhawk Ridge Homeowners Association Trails - Connector",
600896,"Multnomah","Ainsworth 200 Trail",
694072,"Clackamas","Steve's Camp Trail",
119278,"Multnomah","Nadaka Loop Trail - Connector",
896061,"Washington","Forest Grove Open Space Trail - Connector",
217939,"Washington","SW 74th Ave - SW Addie Ln Connector",
464968,"Clark","Columbia River Water Trail",
629163,"Clackamas","Skookum Lake Trail #542",
666699,"Multnomah","Cherry Trail",
450634,"Clark","Washougal River Corridor Trail",
980478,"Clark","I-205 Corridor Trail",
301509,"Clackamas","Homestead Loop",
413866,"Washington","Inkster Dr Connector",
955234,"Clackamas","Baker Prairie Trail",
649505,"Washington","Swing Donkey Trail",
845079,"Multnomah","Chestnut Trail",
687797,"Clackamas","Beaver Trail",
237520,"Multnomah","Woods Park Trail",
232594,"Clark","Broadway St - C St Connector",
945425,"Washington","Morgan Dr - Sorrento Rd Connector",
691855,"Multnomah","SW 18th Place",
402814,"Multnomah","SW Taylors Ferry Road",
260854,"Washington","Jackson School Woods Nature Reserve",
